pubType,Authors,Title,Publication,urlLink,fileLink,Volume,Number,Pages,Year,ProjectPage
patent,"Buerki C, <strong>Crisan A</strong>, Davicioni E, Erho N, Ghadessi M, Jenkins RB, Vergara IA",Cancer diagnostics using biomarkers,,http://www.google.com/patents/US20140066323,,,,,2013,
firstAuth,"<strong>Crisan A</strong>, Fisher, S, Gardy, JL, Munzner T. ",GEViTRec: Data reconnaissance through recommendation using a domain-specific visualization prevalence design space.,IEEE Transactions on Visualization and Computer Graphics,https://ieeexplore.ieee.org/document/9524484,,,,,2021,
firstAuth,"<strong>Crisan A</strong>, Fiore-Gartland, B ",Fits and Starts: Enterprise use of AutoML and the role of humans in the loop.,Proc. CHI'21,https://dl.acm.org/doi/10.1145/3411764.3445775,,,,,2021,
firstAuth,"<strong>Crisan A</strong>, Correll M",User ex Machina: Simulation as a design probe in human in the loop text analytics.,Proc. CHI'21,https://dl.acm.org/doi/10.1145/3411764.3445425,,,,,2021,
firstAuth,"<strong>Crisan A,</strong> Fiore-Gartland, B, Tory, M. ",Passing the data baton: A retrospective analysis on Data Science work and workers.,IEEE Transactions on Visualization and Computer Graphics,https://ieeexplore.ieee.org/document/9222030,,,,,2020,
firstAuth,"<strong> Crisan A </strong>, Munzner T",Uncovering Data Landscapes through Data Reconnaissance and Task Wrangling,IEEE VIS Conference Proceedings,https://ieeexplore.ieee.org/document/8933542,Data_Recon_and_Task_Wrangling.pdf,,,,2019,
firstAuth,"<strong> Crisan A </strong>, Gardy JL, Munzner T",A systematic method for surveying data visualizations and a resulting genomic epidemiology visualization typology: GEViT,Bioinformatics (to appear),https://doi.org/10.1101/325290,bioinformatics-gevit-2018.pdf,,,,2018,gevit
firstAuthWorkshop,"<strong>Crisan A</strong>, Elliott M",How to Evaluate an Evaluation Study? Comparing and Contrasting Practices in Vis with Those of Other Disciplines,BELIV'18 - an IEEE VIS affilitated workshop,https://ieeexplore.ieee.org/document/8634420,beliv-2018.pdf,,,,2018,
firstAuth,"<strong>Crisan A</strong>, Munzner T,Gardy JL",Adjutant: an R-based tool to support topic discovery for systematic and literature reviews,Bioinformatics - Application Note,http://dx.doi.org/10.1093/bioinformatics/bty722,,,,,2018,adjutant
firstAuth,"<strong>Crisan A</strong>, McKee G, Munzner T,Gardy JL",Evidence-based design and evaluation of a whole genome sequencing clinical report for the reference microbiology laboratory,PeerJ (Peer Reviewed),https://peerj.com/articles/4218.pdf,peerj-4218.pdf,,,,2018,reportDesign
firstAuthWorkshop,"<strong>Crisan A</strong>, Gardy JL, Munzner T",On Regulatory and Organizational Constraints in Visualization Design and Evaluation,BELIV'16 - an IEEE VIS affilitated workshop,http://dl.acm.org/citation.cfm?id=2993911,beliv-2016.pdf,6,6,,2016,
firstAuth,"<strong>Crisan A</strong>, Wong HY, Johnston JC, Tang P, Colijn C, Otterstatter M, Hiscoe L, Parker R, Pollock SL, Gardy JL",Spatio-temporal analysis of tuberculous infection risk among clients of a homeless shelter during an outbreak,The International Journal of Tuberculosis and Lung Disease,http://www.ingentaconnect.com/content/iuatld/ijtld/2015/00000019/00000009/art00007,IJTLD-2015.pdf,19,9,1033-1038,2015,
firstAuth,"<strong>Crisan A </strong>&#9733;, Alshalalfa M&#9733; Vergara IA, Ghadessi M, Buerki C, Erho N, Yousefi K, Sierocinski T, Haddad Z, Black PC, Karnes RJ, Jenkins RB, Davicioni E ",Clinical and genomic analysis of metastatic prostate cancer progression with a background of postoperative biochemical recurrence,BJU international,http://onlinelibrary.wiley.com/doi/10.1111/bju.13013/full,BJU-2014.pdf,116,4,556-567,2014,
firstAuth,"<strong>Crisan A</strong>&#9733; , Erho N&#9733, Vergara IA, Mitra AP, Ghadessi M, Buerki C, Bergstralh EJ, Kollmeyer T, Fink S, Haddad Z, Zimmermann B, Sierocinski T, Ballman KV, Triche TJ, Black PC, Karnes RJ, Klee G, Davicioni E, Jenkins RB ",Discovery and validation of a prostate cancer genomic classifier that predicts early metastasis following radical prostatectomy,PLOS ONE,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0066855,plos-2013.pdf,8,6,e66855,2013,
